Date,BBP_20_2.0,RSI_14,MACDh_12_26_9,MACD_12_26_9,STOCHd_14_3_3,STOCHk_14_3_3,BBB_20_2.0,ATRr_14,MACDs_12_26_9,Close,Gamma
2014-11-05,0.6645131515139514,49.382048593627744,0.0031555674792585,-0.0009751196780921,104.39915129469578,113.72002540392128,17.114223135932463,0.0691204595690534,-0.0041306871573507,0.2604263904919745,-1
2014-11-06,0.5104642963300438,45.95922060704704,0.0021424208450619,-0.0014526611010232,115.01402584835932,128.88136182528166,16.964349231389747,0.0689254906150499,-0.0035950819460852,0.253415257162739,-1
2014-11-07,0.6790482207775399,50.25267284337477,0.0019451938494519,-0.0011635896342703,124.21758267776158,130.05136080408184,16.572877462618504,0.0695462232877411,-0.0031087834837222,0.2615215904388891,1
2014-11-10,0.6726829949263963,50.36762039348227,0.0017619509950793,-0.000906344739873,128.7588326261657,127.34377524913369,16.75887100487883,0.0695866913873021,-0.0026682957349524,0.2617410170831518,-1
2014-11-11,0.5169619255822658,46.87376442270275,0.0011595996674114,-0.001218796150688,126.84344026100896,123.1351847298114,16.755498973889434,0.0696867504623298,-0.0023783958180995,0.255168225293336,-1
2014-11-12,0.5544070574816026,48.1646074715022,0.0008827825235719,-0.0012749176636346,125.53925765876672,126.13881299735516,16.340668419994543,0.0697258444586084,-0.0021577001872065,0.2573593075193058,1
2014-11-13,0.6137118667550914,50.12198395839732,0.0008923816587474,-0.0010422231137722,125.401156044922,126.92947040759952,14.501926386131895,0.0697348618533476,-0.0019346047725197,0.2606453622481434,-1
2014-11-14,0.567680435693293,49.58417149193088,0.0008133221609422,-0.0009179520713418,125.14975208127623,122.38097283887409,12.69361359059416,0.0698607250329858,-0.0017312742322841,0.2597689066133507,1
2014-11-17,0.511151222139524,49.01789409326192,0.0006809983683272,-0.0008800262718751,123.0842661828596,119.94235530210524,10.637273906407966,0.0699538694187978,-0.0015610246402023,0.258892678422605,1
2014-11-18,0.5238779202244183,49.48388861844336,0.000618533824008,-0.0007878573601922,120.60060025872816,119.47847263520524,10.453570962612018,0.0699124586121759,-0.0014063911842003,0.2595498779961702,1
2014-11-19,0.7239071091241325,53.5952899600462,0.0009372806242593,-0.0002347904038761,118.48730423788464,116.04108477634342,9.639317913983673,0.0701968198938758,-0.0011720710281354,0.2654651859073622,1
2014-11-20,0.6874979206075227,53.24988002537815,0.0010706790466027,0.0001662777801179,115.9048519420224,112.1949984145186,8.9209906529578,0.0700301138926105,-0.0009044012664848,0.2650274129780596,1
2014-11-21,1.241321844195858,64.66452409120723,0.002406723416577,0.0021040030042365,110.79985892514294,104.16349358456688,12.016444008910629,0.0710349223498972,-0.0003027204123405,0.2854028741990487,1
2014-11-24,0.93450210142586,58.24222700813601,0.0025754243851811,0.0029165600691359,107.61105362910318,106.47466888822414,11.592895249390184,0.0703472608676952,0.0003411356839547,0.2768581993834788,-1
2014-11-25,0.62803088008946,52.35537437549287,0.0019697878390229,0.0028033704827334,108.80811876365128,115.78619381816289,11.604833918208303,0.0700995943227192,0.0008335826437104,0.2678754673335478,-1
2014-11-26,0.5126046807041278,50.47915679913297,0.0012835824814717,0.0024380607455501,118.12397123299417,132.11105099259552,11.176010862595396,0.0700543510835667,0.0011544782640784,0.2648082137778439,-1
2014-11-28,0.1007672588043146,43.009606780385965,-0.0001052026765253,0.0010229749184217,133.88474611796053,153.7569935431233,12.020281116993768,0.0695104653617063,0.001128177594947,0.251005260041612,-1
2014-12-01,-0.1261532556021045,37.590001533274815,-0.001777405395873,-0.0010935791498941,160.2574351079003,194.90426078798228,14.292096354072244,0.069118477250584,0.0006838262459788,0.2385170466185808,-1
2014-12-02,-0.0493083109787052,36.97382009535173,-0.002836443742388,-0.0028617284320061,194.97136793061085,236.25284946072705,16.303752581168713,0.069353589174364,-2.528468961815889e-05,0.236983391410223,1
2014-12-03,0.0573182470980673,38.06712721611044,-0.0032534325848363,-0.0040920754206635,231.60350098955732,263.6533927199627,17.822696002156878,0.0697676172548474,-0.0008386428358272,0.2385170466185808,-1
2014-12-04,0.1161724831092073,38.39571451508103,-0.003308652150971,-0.0049744580245411,255.14056216453383,265.51544431291177,19.114067947891996,0.0700403314637869,-0.00166580587357,0.2389549332699067,-1
2014-12-05,0.1747582384515814,39.60441215167468,-0.0030567493080531,-0.0054867425086365,264.001338724946,262.8351791419634,20.00789548089654,0.0701495861497364,-0.0024299932005833,0.240488702200288,1
2014-12-08,0.0763391311525009,35.529429059268104,-0.0032477766275554,-0.0064897139850276,273.90682241500275,293.3698437901332,21.77680914670257,0.069999626289933,-0.0032419373574721,0.2321632834459456,-1
2014-12-09,-0.0318467499088809,30.542006926679747,-0.0039506932490292,-0.0081803039187586,327.2058263405615,425.412456089588,25.0335037990398,0.0701861489088249,-0.0042296106697294,0.2198940417790832,-1
2014-12-10,-0.0796402262749734,26.593545664345484,-0.0049146254222442,-0.0103728924475347,-247.1984176226084,-1460.3775527475464,29.83387639373693,0.0698314362564815,-0.0054582670252905,0.2078437718683897,-1
2014-12-11,-0.055415414631877,24.42923598727784,-0.0057007688747224,-0.0125842281186935,-958.1806966286956,-1839.576993228128,34.97847613682981,0.0696654858415975,-0.0068834592439711,0.2001756095486242,-1
2014-12-12,-0.0430989292924609,22.104377614822152,-0.0064191588358607,-0.014907407788797,-1841.8337214791472,-2225.546618461768,40.57880606956225,0.0694840544720784,-0.0084882489529363,0.1909736214374657,-1
2014-12-15,-0.043761598317378,19.53080768800127,-0.0072105780091443,-0.0175014714643668,-1546.594563032829,-574.6600774085921,47.16125366120838,0.0689963705363753,-0.0102908934552224,0.1791424938659762,-1
2014-12-16,-0.0175853651094789,17.871037251056464,-0.0077940855111891,-0.0200335003442088,-1072.960296085055,-418.67419238480574,54.01730392716289,0.0688450254067735,-0.0122394148330197,0.1703789041552492,1
2014-12-17,0.2199897398024411,35.66477713473271,-0.0059494894009446,-0.0196762765842005,-443.7495078783341,-337.91425384160453,55.86301125611572,0.0697981856370704,-0.0137267871832558,0.1968631713103444,1
2014-12-18,0.3239798135577107,41.33499026413064,-0.0036561518262101,-0.0182969769660186,-405.5746188543064,-460.135410336509,55.83192179779413,0.0706611497842202,-0.0146408251398084,0.2078343329404427,-1
2014-12-19,0.2964875862948873,39.17820562049111,-0.0022996814565476,-0.017515426960493,-50.83664287971404,645.5397355389713,55.85072801792924,0.0705312209663615,-0.0152157455039453,0.2014710739788487,1
2014-12-22,0.3149098437806044,39.17820562049111,-0.0011901999587162,-0.0167034954523406,463.0219031613085,1203.6613842814631,52.40239541404888,0.0709407838612244,-0.0155132954936244,0.2014710739788487,-1
